# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, slit_id
FHC2_G_CH25,-0.737106,2.27986,-0.215666,0.0961840255167597,-0.2719190721376921,-0.9575012540164989,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138277,0.00388238,SLIT_FHC2_MITTE
FHC2_G_CH26,-0.736621,2.27847,-0.220529,0.09544872002410842,-0.27260705719001016,-0.9573792008477947,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138294,0.00388332,SLIT_FHC2_MITTE
FHC2_G_CH27,-0.736135,2.27709,-0.225393,0.09544872002410842,-0.27260705719001016,-0.9573792008477947,0.9441870107406752,0.3294090037472186,0.0007726570087894219,0.00138294,0.00388271,SLIT_FHC2_MITTE
FHC2_G_CH28,-0.735649,2.2757,-0.230256,0.09544872002410842,-0.27260705719001016,-0.9573792008477947,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138294,0.00388332,SLIT_FHC2_MITTE
FHC2_H_CH29,-0.734889,2.27353,-0.235548,0.16699099410972676,-0.4778409831451153,-0.8624279695795787,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.0013833,0.00388332,SLIT_FHC2_MITTE
FHC2_H_CH30,-0.73404,2.2711,-0.239929,0.16779901023523655,-0.47808102916150946,-0.8621380525878364,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138261,0.00388238,SLIT_FHC2_MITTE
FHC2_H_CH31,-0.733191,2.26867,-0.244309,0.16703800247308112,-0.47869700708734847,-0.8619440127615121,0.9441871673179304,0.32940905837406376,0.0005151050912809671,0.00138292,0.00388271,SLIT_FHC2_MITTE
FHC2_H_CH32,-0.732341,2.26625,-0.248689,0.16709606323743356,-0.4781391809515682,-0.862242326315239,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138244,0.00388332,SLIT_FHC2_MITTE
FHC2_I_CH33,-0.731181,2.26293,-0.25327,0.23062102958383696,-0.6607760847637009,-0.7142750916265004,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138322,0.00388332,SLIT_FHC2_MITTE
FHC2_I_CH34,-0.730009,2.25957,-0.256898,0.23085098927177763,-0.6607099692951566,-0.7142619668064614,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138185,0.00388332,SLIT_FHC2_MITTE
FHC2_I_CH35,-0.728836,2.25621,-0.260527,0.23062102958383696,-0.6607760847637009,-0.7142750916265004,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138322,0.00388238,SLIT_FHC2_MITTE
FHC2_I_CH36,-0.727664,2.25286,-0.264155,0.23085098927177763,-0.6607099692951566,-0.7142619668064614,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138185,0.00388332,SLIT_FHC2_MITTE
FHC3_J_CH37,-0.737173,2.28028,-0.346058,0.29321812203374253,-0.8402903497184127,-0.4559991897812023,0.9442784583855831,0.32914715977947123,0.0005832992831537453,0.00469957,0.0120007,SLIT_FHC3_UNTEN
FHC3_J_CH38,-0.735777,2.27628,-0.348864,0.2746700086128276,-0.7871450246825069,-0.5522310173163083,0.9442150841907527,0.32932902936455827,0.0005149800459180947,0.00138348,0.00388365,SLIT_FHC3_UNTEN
FHC3_J_CH39,-0.734382,2.27228,-0.35167,0.2746700086128276,-0.7871450246825069,-0.5522310173163083,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138348,0.00388238,SLIT_FHC3_UNTEN
FHC3_J_CH40,-0.732987,2.26828,-0.354476,0.27482604064663707,-0.7868701163777055,-0.5525450817211475,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138269,0.00388238,SLIT_FHC3_UNTEN
FHC3_K_CH41,-0.731225,2.26323,-0.357512,0.29570484033672806,-0.8466265428713179,-0.44247276109065814,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138314,0.00388238,SLIT_FHC3_UNTEN
FHC3_K_CH42,-0.729724,2.25893,-0.359759,0.29570484033672806,-0.8466265428713179,-0.44247276109065814,0.9441871673179304,0.32940905837406376,0.0005151050912809671,0.00138314,0.00388271,SLIT_FHC3_UNTEN
FHC3_K_CH43,-0.728223,2.25463,-0.362007,0.29570484033672806,-0.8466265428713179,-0.44247276109065814,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138314,0.00388238,SLIT_FHC3_UNTEN
FHC3_K_CH44,-0.726722,2.25033,-0.364254,0.2958858555166049,-0.8464215866856688,-0.44274378380472124,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138229,0.00388238,SLIT_FHC3_UNTEN
FHC3_L_CH45,-0.724857,2.24498,-0.366649,0.31157610264564817,-0.8928002941241773,-0.3253121071708382,0.9442668882036064,0.329179961026768,0.0007727229085135405,0.00138329,0.00388238,SLIT_FHC3_UNTEN
FHC3_L_CH46,-0.723275,2.24045,-0.368302,0.3118511327558351,-0.892863380094254,-0.32487513830018805,0.9442670448213069,0.3291800156251121,0.000515148024452413,0.00138207,0.00388238,SLIT_FHC3_UNTEN
FHC3_L_CH47,-0.721693,2.23591,-0.369955,0.31157610264564817,-0.8928002941241773,-0.3253121071708382,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138329,0.00388332,SLIT_FHC3_UNTEN
FHC3_L_CH48,-0.720111,2.23138,-0.371608,0.311123953576265,-0.8928548667744567,-0.3255949514170042,0.9442949422687881,0.3290999798798661,0.0005150229685131214,0.00138208,0.00388332,SLIT_FHC3_UNTEN
