# ID, cp_x, cp_y, cp_z, bx_x, bx_y, bx_z, by_x, by_y, by_z, dx, dy, slit_id
FVC1_D_CH16,-0.398889,1.94379,1.00399,-0.1713790273538944,0.7990471275363216,-0.5763270919878626,0.9769373405418504,0.2134640744095326,0.005149911795161695,0.0013829,0.00388356,SLIT_FVC1_OBEN
FVC2_E_CH17,-0.402458,1.96054,0.987425,-0.03899780245984808,0.20198901274077652,-0.9786110617274408,0.9769183276404241,0.21354807162009226,0.005272781768393945,0.00300017,0.0109999,SLIT_FVC2_UNTEN
FVC2_E_CH18,-0.403091,1.96353,0.983372,-0.12444103447595783,0.5896491633602596,-0.7980152210873547,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138218,0.00388259,SLIT_FVC2_UNTEN
FVC2_E_CH19,-0.403724,1.96653,0.97932,-0.1243880376541927,0.5901201786385519,-0.7976752414686962,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138277,0.00388259,SLIT_FVC2_UNTEN
FVC2_E_CH20,-0.404357,1.96953,0.975267,-0.1243880376541927,0.5901201786385519,-0.7976752414686962,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138277,0.00388259,SLIT_FVC2_UNTEN
FVC2_F_CH21,-0.404969,1.97246,0.969782,-0.06942087978735675,0.339872901042313,-0.9379057269185597,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138287,0.00388259,SLIT_FVC2_UNTEN
FVC2_F_CH22,-0.405321,1.97419,0.965018,-0.06870123361945704,0.339890166327768,-0.9379524589939763,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.0013828,0.00388259,SLIT_FVC2_UNTEN
FVC2_F_CH23,-0.405672,1.97591,0.960252,-0.06942087978735675,0.339872901042313,-0.9379057269185597,0.9769373405418504,0.2134640744095326,0.005149911795161695,0.00138287,0.00388356,SLIT_FVC2_UNTEN
FVC2_F_CH24,-0.406024,1.97764,0.955487,-0.06942087978735675,0.339872901042313,-0.9379057269185597,0.9769792685353821,0.2132720586205824,0.005151491415954013,0.00138287,0.00388237,SLIT_FVC2_UNTEN
FVC2_G_CH25,-0.406267,1.9789,0.94937,-0.007950297611985168,0.060711381764244905,-0.9981237001956006,0.9769781027063414,0.21327102242044768,0.005409050568634848,0.0013836,0.00388238,SLIT_FVC2_UNTEN
FVC2_G_CH26,-0.406307,1.97921,0.944299,-0.007956376768128551,0.06003447561406235,-0.9981645945466449,0.9769373405418504,0.2134640744095326,0.005149911795161695,0.00138254,0.00388356,SLIT_FVC2_UNTEN
FVC2_G_CH27,-0.406346,1.97952,0.939229,-0.007956376768128551,0.06003447561406235,-0.9981645945466449,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138254,0.00388259,SLIT_FVC2_UNTEN
FVC2_G_CH28,-0.406386,1.97982,0.934158,-0.007956376768128551,0.06003447561406235,-0.9981645945466449,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138254,0.00388259,SLIT_FVC2_UNTEN
FVC2_H_CH29,-0.40624,1.97931,0.927929,0.05422798059308357,-0.2234199200432753,-0.9732126517101247,0.9769361756337187,0.21346303837641412,0.005407400972143283,0.00138305,0.00388357,SLIT_FVC2_UNTEN
FVC2_H_CH30,-0.405964,1.97817,0.922986,0.05422798059308357,-0.2234199200432753,-0.9732126517101247,0.9769243586535491,0.21351707838749978,0.005408761985692818,0.00138305,0.00388259,SLIT_FVC2_UNTEN
FVC2_H_CH31,-0.405689,1.97703,0.918043,0.054219319932286535,-0.2241060823866226,-0.9730553577178436,0.9769257784203436,0.2135169515715382,0.005151198831640139,0.00138327,0.00388259,SLIT_FVC2_UNTEN
FVC2_H_CH32,-0.405413,1.97589,0.9131,0.054257392147877295,-0.2242639675445479,-0.9730168591851273,0.9769373405418504,0.2134640744095326,0.005149911795161695,0.0013823,0.00388356,SLIT_FVC2_UNTEN
